N,P,K,temperature,humidity,ph,rainfall,season,soil_type,crop
81.3,46.3,82.5,27.0,72.8,6.63,76.2,Rabi,Sandy,onion
15.8,65.8,55.4,24.3,70.9,6.45,79.5,Kharif,Loamy,soybean
21.7,71.6,14.1,30.3,53.3,6.98,42.6,Kharif,Sandy,mothbeans
84.0,39.9,42.9,14.4,63.3,7.04,43.4,Rabi,Sandy,mustard
21.2,56.8,12.7,35.0,49.6,7.09,57.7,Kharif,Sandy,mothbeans
15.4,63.4,25.9,30.9,33.5,6.98,57.3,Kharif,Sandy,mothbeans
20.5,72.9,22.2,28.3,42.3,6.92,46.8,Kharif,Sandy,mothbeans
106.0,45.4,86.5,23.4,76.2,4.97,145.6,Kharif,Loamy,coffee
18.7,52.5,39.7,32.8,41.4,7.39,54.9,Rabi,Loamy,chickpea
50.2,40.8,31.8,32.3,47.1,7.09,41.2,Kharif,Loamy,castor
59.5,32.6,52.5,13.9,66.0,5.86,135.4,Rabi,Loamy,apple
106.6,19.5,35.1,20.9,84.2,5.49,238.3,Kharif,Clayey,rice
49.8,17.6,35.7,31.0,48.4,6.7,41.9,Kharif,Sandy,pearl_millet
36.8,25.7,18.0,31.6,38.1,6.92,29.1,Kharif,Loamy,sesame
108.3,73.9,91.3,27.5,82.9,6.23,53.6,Kharif,Sandy,tomato
195.4,62.4,157.4,26.9,76.8,6.79,169.2,Kharif,Loamy,banana
89.3,58.2,86.6,32.6,62.5,6.14,101.7,Zaid,Loamy,guava
29.4,49.5,59.5,15.6,67.1,7.12,74.8,Rabi,Loamy,peas
42.5,32.4,42.3,10.2,78.0,6.82,61.3,Rabi,Sandy,barley
109.7,36.6,45.6,22.2,88.0,4.11,270.4,Kharif,Loamy,tea
64.8,31.4,33.9,28.4,67.6,6.34,111.8,Kharif,Sandy,finger_millet
81.2,72.8,49.4,26.8,77.4,6.94,209.3,Rabi,Sandy,wheat
71.6,38.0,45.2,21.0,68.7,6.77,64.6,Rabi,Loamy,mustard
80.3,45.9,76.2,26.7,65.3,6.82,80.3,Rabi,Sandy,onion
92.4,56.5,49.0,19.9,74.2,6.36,173.4,Rabi,Sandy,wheat
46.5,47.4,58.6,17.6,71.1,5.38,51.3,Rabi,Sandy,garlic
28.8,48.7,38.0,26.8,47.6,6.87,47.0,Rabi,Sandy,chickpea
22.8,46.8,20.1,29.0,72.5,6.28,48.8,Kharif,Loamy,blackgram
88.4,32.7,181.0,27.8,81.5,5.61,174.9,Kharif,Sandy,coconut
23.6,68.6,17.5,25.7,51.4,6.85,48.3,Kharif,Sandy,mothbeans
91.0,51.0,44.2,29.2,60.4,6.28,88.0,Kharif,Sandy,maize
88.0,39.6,40.6,15.1,69.1,7.52,59.5,Rabi,Loamy,mustard
16.8,56.9,54.1,13.9,76.2,6.65,40.9,Rabi,Sandy,peas
61.7,27.1,56.6,25.1,59.1,6.48,51.8,Rabi,Sandy,grapes
25.0,39.4,44.4,29.4,64.8,6.79,103.8,Kharif,Sandy,cowpea
18.7,44.0,20.7,25.7,59.2,7.13,53.0,Kharif,Loamy,blackgram
80.1,69.2,72.8,32.2,51.0,6.51,64.8,Kharif,Loamy,sunflower
92.9,50.7,81.9,24.7,70.7,6.76,102.5,Zaid,Loamy,guava
80.4,33.1,82.1,19.2,70.6,6.79,95.9,Rabi,Sandy,onion
30.3,55.5,58.5,25.0,58.5,5.87,84.8,Kharif,Loamy,cowpea
99.3,43.9,61.6,30.6,92.8,4.74,332.9,Kharif,Loamy,rubber
118.5,43.7,80.4,31.6,68.1,6.94,44.1,Zaid,Sandy,pomegranate
102.0,86.3,72.4,22.8,82.8,5.93,53.1,Kharif,Loamy,tomato
16.5,48.2,57.7,29.0,54.2,5.67,153.3,Kharif,Loamy,pigeonpeas
110.1,45.0,52.0,20.1,81.9,5.11,245.5,Kharif,Loamy,tea
159.8,62.9,197.4,27.1,88.4,7.18,189.3,Kharif,Loamy,banana
23.0,70.3,67.3,17.4,76.0,6.63,108.7,Kharif,Loamy,kidneybeans
40.8,19.8,32.3,22.4,50.2,5.83,63.6,Rabi,Loamy,linseed
77.6,19.4,55.2,22.9,57.7,6.67,63.6,Rabi,Loamy,mustard
18.9,44.0,20.5,32.5,58.9,6.55,57.6,Kharif,Loamy,blackgram
74.9,50.9,33.3,26.8,55.6,7.75,61.4,Rabi,Loamy,mustard
9.8,25.0,16.4,26.0,61.2,6.98,49.8,Rabi,Loamy,lentil
24.6,54.2,28.0,28.1,68.0,7.06,60.7,Kharif,Loamy,blackgram
153.1,46.9,192.2,28.8,78.3,6.6,249.2,Kharif,Loamy,banana
24.6,82.0,68.1,19.9,69.8,6.36,113.9,Kharif,Loamy,kidneybeans
14.3,50.5,17.4,30.9,49.6,7.17,51.1,Kharif,Sandy,mothbeans
120.5,74.1,124.8,15.2,78.6,5.92,78.3,Rabi,Sandy,potato
42.9,41.3,49.2,13.9,68.8,5.54,100.2,Rabi,Sandy,apple
37.2,41.7,32.6,30.2,49.2,6.98,77.9,Kharif,Loamy,castor
49.8,21.8,63.5,26.6,62.2,6.4,70.1,Rabi,Sandy,grapes
8.1,14.0,20.1,19.9,55.0,6.11,37.1,Rabi,Sandy,lentil
